key,ja,file,line
components.電車,"電車",src/components/Access.tsx,4
components.jr東海道線,"JR東海道線",src/components/Access.tsx,7
components.笠寺駅,"笠寺駅",src/components/Access.tsx,8
components.タクシー,"タクシー",src/components/Access.tsx,9
components.約10分,"約10分",src/components/Access.tsx,10
components.大高駅,"大高駅",src/components/Access.tsx,14
components.名鉄常滑線,"名鉄常滑線",src/components/Access.tsx,19
components.柴田駅,"柴田駅",src/components/Access.tsx,20
components.徒歩,"徒歩",src/components/Access.tsx,21
components.15分,"15分",src/components/Access.tsx,22
components.車,"車",src/components/Access.tsx,32
components.名古屋高速2号,"名古屋高速2号",src/components/Access.tsx,35
components.大高ic,"大高IC",src/components/Access.tsx,36
components.伊勢湾岸道,"伊勢湾岸道",src/components/Access.tsx,41
components.豊明ic,"豊明IC",src/components/Access.tsx,42
components.アクセス情報,"アクセス情報",src/components/Access.tsx,64
components.会社所在地,"会社所在地",src/components/Access.tsx,73
components.岡本食品株式会社,"岡本食品株式会社",src/components/Access.tsx,82
components.愛知県名古屋市南区要町317,"愛知県名古屋市南区要町3‑17",src/components/Access.tsx,84
components.でのアクセス,"でのアクセス",src/components/Access.tsx,108
components.地図,"地図",src/components/Access.tsx,140
components.詳細な地図情報は,"詳細な地図情報は",src/components/Access.tsx,141
components.お電話でお問い合わせください,"お電話でお問い合わせください",src/components/Access.tsx,142
components.営業時間,"営業時間",src/components/Access.tsx,161
components.平日,"平日",src/components/Access.tsx,164
components.土曜,"土曜",src/components/Access.tsx,168
components.日曜祝日,"日曜・祝日",src/components/Access.tsx,172
components.休業,"休業",src/components/Access.tsx,173
components.特集_-_100年を超える歴史と伝統,"特集 - 100年を超える歴史と伝統",src/components/Banner.tsx,15
components.100年を超える,"100年を超える",src/components/Banner.tsx,29
components.歴史と伝統,"歴史と伝統",src/components/Banner.tsx,30
components.1921年の創業から現代まで変わらぬ想いで紡いできた私たちの物語と_これからの100年に向けた新たな挑戦をご紹介します,"1921年の創業から現代まで。変わらぬ想いで紡いできた私たちの物語と、 これからの100年に向けた新たな挑戦をご紹介します。",src/components/Banner.tsx,33
components.詳しく見る,"詳しく見る",src/components/Banner.tsx,40
components.カテゴリー,"カテゴリー:",src/components/CategoryNavigation.tsx,55
components.黄桃の写真,"黄桃の写真",src/components/CategorySection.tsx,49
components.ごあいさつ,"ごあいさつ",src/components/CompanyGreeting.tsx,9
components.代表取締役社長,"代表取締役社長",src/components/CompanyGreeting.tsx,19
components.岡本_嘉久,"岡本 嘉久",src/components/CompanyGreeting.tsx,22
components.弊社は大正10年5月にトマトソース加工業者として創業しました以来みかんもも等のフルーツ加工品のトップブランドの一つとして親しまれるokマークのもと学校給食をはじめ各方面から幅広くご愛顧を頂戴するに至っております,"弊社は大正10年5月にトマトソース加工業者として創業しました。以来、みかん、もも等のフルーツ加工品のトップブランドの一つとして、親しまれるOKマークのもと、学校給食をはじめ、各方面から幅広くご愛顧を頂戴するに至っております。",src/components/CompanyGreeting.tsx,28
components.良い製品は良い原料からしかつくることはできませんという信念のもと生産者の皆様との信頼関係を大切にし国産原料にこだわった製品づくりを心がけております,"「良い製品は良い原料からしかつくることはできません」という信念のもと、生産者の皆様との信頼関係を大切にし、国産原料にこだわった製品づくりを心がけております。",src/components/CompanyGreeting.tsx,32
components.私たちは安心美味しさ笑顔を詰めてお届けしますをモットーにお客様に喜んでいただける商品をお届けすべく原料の仕入れから加工流通に至るまで日夜改善努力を続けております,"私たちは「安心・美味しさ・笑顔を詰めてお届けします」をモットーに、お客様に喜んでいただける商品をお届けすべく、原料の仕入れから加工、流通に至るまで、日夜改善努力を続けております。",src/components/CompanyGreeting.tsx,36
components.今後も創業以来培われた高い信頼と実績を礎にますます製造技術の向上に努め健康で豊かな食生活の発展に貢献して参りたいと考えています,"今後も、創業以来培われた高い信頼と実績を礎に、ますます製造技術の向上に努め、健康で豊かな食生活の発展に貢献して参りたいと考えています。",src/components/CompanyGreeting.tsx,40
components.今後ともなお一層のご支援ご愛顧のほどよろしくお願い申し上げます,"今後とも、なお一層のご支援、ご愛顧のほど、よろしくお願い申し上げます。",src/components/CompanyGreeting.tsx,44
components.images社長写真.avif,"/images/社長写真.avif",src/components/CompanyGreeting.tsx,53
components.代表取締役社長_岡本_嘉久,"代表取締役社長 岡本 嘉久",src/components/CompanyGreeting.tsx,54
components.imagesみかん農場.avif,"/images/みかん農場.avif",src/components/CompanyHero.tsx,10
components.みかん農場の風景,"みかん農場の風景",src/components/CompanyHero.tsx,11
components.大正10年の創業以来一世紀を超えて,"大正10年の創業以来、一世紀を超えて",src/components/CompanyHero.tsx,36
components.安心安全でおいしい食を提供し続けています,"安心・安全でおいしい食を提供し続けています。",src/components/CompanyHero.tsx,37
components.創業年,"創業年",src/components/CompanyIntro.tsx,15
components.年の歴史,"年の歴史",src/components/CompanyIntro.tsx,19
components.品質への想い,"品質への想い",src/components/CompanyIntro.tsx,23
components.私たちについて,"私たちについて",src/components/CompanyIntro.tsx,31
components.全ての人に安心安全でおいしい食を提供し,"全ての人に安心・安全でおいしい食を提供し",src/components/CompanyIntro.tsx,43
components.健康で幸せな社会づくりに貢献します,"健康で幸せな社会づくりに貢献します",src/components/CompanyIntro.tsx,46
components.大正10年にトマトソース加工業者として創業して以来みかんもも等のフルーツ加工品を学校給食をはじめ各方面から幅広くご愛顧を頂戴しております名古屋の食品加工業社です,"大正10年にトマトソース加工業者として創業して以来、みかん、もも等のフルーツ加工品を学校給食をはじめ各方面から幅広くご愛顧を頂戴しております名古屋の食品加工業社です。",src/components/CompanyIntro.tsx,52
components.今後も安心安全でおいしい食を提供し健康で幸せな社会づくりに貢献していきます,"今後も安心・安全でおいしい食を提供し、健康で幸せな社会づくりに貢献していきます。",src/components/CompanyIntro.tsx,56
components.会社情報を見る,"会社情報を見る",src/components/CompanyIntro.tsx,66
components.お問い合わせ,"お問い合わせ",src/components/CompanyIntro.tsx,75
components.私たちの価値観,"私たちの価値観",src/components/CompanyIntro.tsx,84
components.品質第一,"品質第一",src/components/CompanyIntro.tsx,95
components.国産原料へのこだわりと厳格な品質管理により_安心安全な食品をお届けします,"国産原料へのこだわりと厳格な品質管理により、 安心・安全な食品をお届けします。",src/components/CompanyIntro.tsx,96
components.信頼関係,"信頼関係",src/components/CompanyIntro.tsx,108
components.生産者の皆様との長年の信頼関係により_最高品質の原料を確保しています,"生産者の皆様との長年の信頼関係により、 最高品質の原料を確保しています。",src/components/CompanyIntro.tsx,109
components.持続可能性,"持続可能性",src/components/CompanyIntro.tsx,121
components.環境に配慮した持続可能な事業運営で_次世代につなぐ責任を果たします,"環境に配慮した持続可能な事業運営で、 次世代につなぐ責任を果たします。",src/components/CompanyIntro.tsx,122
components.企業理念,"企業理念",src/components/CompanyNavigation.tsx,7
components.会社概要,"会社概要",src/components/CompanyNavigation.tsx,8
components.沿革,"沿革",src/components/CompanyNavigation.tsx,9
components.当社の特徴,"当社の特徴",src/components/CompanyNavigation.tsx,10
components.製造ライン,"製造ライン",src/components/CompanyNavigation.tsx,11
components.アクセス,"アクセス",src/components/CompanyNavigation.tsx,12
components.良い製品は良い原料からしかつくることはできません,"良い製品は良い原料からしかつくることはできません",src/components/CompanyPhilosophy.tsx,11
components.笑顔,"笑顔",src/components/CompanyPhilosophy.tsx,25
components.お客様の笑顔のために,"お客様の笑顔のために、",src/components/CompanyPhilosophy.tsx,26
components.常に最高の品質を追求します,"常に最高の品質を追求します",src/components/CompanyPhilosophy.tsx,27
components.感謝,"感謝",src/components/CompanyPhilosophy.tsx,40
components.生産者の皆様への感謝を忘れず,"生産者の皆様への感謝を忘れず、",src/components/CompanyPhilosophy.tsx,41
components.信頼関係を大切にします,"信頼関係を大切にします",src/components/CompanyPhilosophy.tsx,42
components.健康,"健康",src/components/CompanyPhilosophy.tsx,55
components.健康で豊かな食生活の,"健康で豊かな食生活の",src/components/CompanyPhilosophy.tsx,56
components.発展に貢献します,"発展に貢献します",src/components/CompanyPhilosophy.tsx,57
components.経営方針,"経営方針",src/components/CompanyPhilosophy.tsx,66
